Year,Player,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,W/L%
1990,Karl Malone,UTA,0.233,82,38.1,31.0,11.1,2.8,1.5,0.6,0.562,0.372,0.762,0.245,0.671
1990,Patrick Ewing,NYK,0.176,82,38.6,28.6,10.9,2.2,1.0,4.0,0.551,0.25,0.775,0.205,0.549
1990,David Robinson,SAS,0.111,82,36.6,24.3,12.0,2.0,1.7,3.9,0.531,0.0,0.732,0.241,0.683
1990,Hakeem Olajuwon,HOU,0.07,82,38.1,24.3,14.0,2.9,2.1,4.6,0.501,0.167,0.713,0.173,0.5
1990,Tom Chambers,PHO,0.013,81,37.6,27.2,7.0,2.3,1.1,0.6,0.501,0.279,0.861,0.176,0.659
1990,John Stockton,UTA,0.01,78,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,0.238,0.671
1990,Larry Bird,BOS,0.005,75,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,0.154,0.634
1990,Buck Williams,POR,0.005,82,34.2,13.6,9.8,1.4,0.8,0.5,0.548,0.0,0.706,0.149,0.72
1990,Clyde Drexler,POR,0.003,73,36.8,23.3,6.9,5.9,2.0,0.7,0.494,0.283,0.774,0.208,0.72
1990,Joe Dumars,DET,0.001,75,34.4,17.8,2.8,4.9,0.8,0.0,0.48,0.4,0.9,0.162,0.72
1990,Isiah Thomas,DET,0.001,81,37.0,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,0.107,0.72
1991,Michael Jordan,CHI,0.928,82,37.0,31.5,6.0,5.5,2.7,1.0,0.539,0.312,0.851,0.321,0.744
1991,Magic Johnson,LAL,0.518,79,37.1,19.4,7.0,12.5,1.3,0.2,0.477,0.32,0.906,0.251,0.707
1991,David Robinson,SAS,0.496,82,37.7,25.6,13.0,2.5,1.5,3.9,0.552,0.143,0.762,0.264,0.671
1991,Charles Barkley,PHI,0.231,67,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,0.258,0.537
1991,Karl Malone,UTA,0.148,82,40.3,29.0,11.8,3.3,1.1,1.0,0.527,0.286,0.77,0.225,0.659
1991,Clyde Drexler,POR,0.078,82,34.8,21.5,6.7,6.0,1.8,0.7,0.482,0.319,0.794,0.209,0.768
1991,Kevin Johnson,PHO,0.033,77,36.0,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,0.22,0.671
1991,Dominique Wilkins,ATL,0.03,81,38.0,25.9,9.0,3.3,1.5,0.8,0.47,0.341,0.829,0.177,0.524
1991,Larry Bird,BOS,0.026,60,38.0,19.4,8.5,7.2,1.8,1.0,0.454,0.389,0.891,0.14,0.683
